,sku,model,forecast1,forecast2,forecast3,forecast4,forecast5,rmse,mape
126,Key_Sales_5,ridge,0,64,254,0,0,196.5181845,49.475
127,Key_Sales_5,en,0,64,0,0,0,1954.29071,507.3888
128,Key_Sales_5,huber,0,64,0,0,0,1260.383429,341.4528
129,Key_Sales_5,llars,0,64,0,0,0,1959.616446,508.952
130,Key_Sales_5,pa,1013,376,1887,0,5729,425.3433608,152.8094
131,Key_Sales_5,knn,0,64,0,0,0,1826.710904,211.9426
132,Key_Sales_5,cart,64,0,0,0,0,2419.064897,409.787
133,Key_Sales_5,extra,64,0,696,0,1249,812.8396442,203.0562
134,Key_Sales_5,svmr,64,0,0,0,0,2245.138814,687.717
135,Key_Sales_5,ada,6,6,6,6,6,1669.873782,444.2374
136,Key_Sales_5,bag,64,0,0,0,0,887.4954682,167.807
137,Key_Sales_5,rf,64,0,0,0,0,1382.553878,319.9274
138,Key_Sales_5,et,64,0,549,165,281,852.9304316,208.7824
139,Key_Sales_5,gbm,64,0,244,0,127,723.9827465,151.6738
140,Key_Sales_5,AR,394,436,443,428,434,217.8107659,76.0028
141,Key_Sales_5,MA,261,6,210,161,137,1048.434081,241.6692
142,Key_Sales_5,ARMA,361,431,436,409,425,217.8107659,76.0028
143,Key_Sales_5,ARIMA,394,436,443,428,434,371.74247,75.3968
144,Key_Sales_5,SES,457,457,457,457,457,187.1758261,52.843
145,Key_Sales_5,HWES,457,457,457,457,457,187.1758261,52.843
146,Key_Sales_5,naive,516,516,516,516,516,501.7087099,112.3094
147,Key_Sales_5,naive_rept,0,0,0,0,0,11304.79005,3481.9798
148,Key_Sales_5,naive3,150,417,516,150,417,1434.833068,401.9982
149,Key_Sales_5,naive6,270,581,390,150,417,1837.12782,548.336
150,Key_Sales_5,naive12,3060,1489,420,634,432,1271.870793,395.8312
151,Key_Sales_5,naive12wa,2838,1394,860,945,1147,2383.803968,740.8068
152,Key_Sales_5,sma,361,431,436,409,425,1048.434081,241.6692
153,Key_Sales_5,wma,389,440,441,428,436,978.8468925,217.2968
154,Key_Sales_5,Croston,0,0,0,0,0,2899.71501,48.0612
